rec_number	first_author	year	pmid	title	abstract
7031	Gregg, J H	1949		The rate of oxygen consumption of the slime mold, Dictyostelium discoideum during the growth and morphogenetic stages.	
3579	Kitzke, E D	1949		Some ecological aspects of the Acrasiales in and near Madison, Wisconsin.	
98	Bonner, J T	1950	14791414	Observations on polarity in the slime mold Dictyostelium discoideum.	
113	Bonner, J T	1950	14803516	The orientation to light and the extremely sensitive orientation to temperature gradients in the slime mold Dictyostelium discoideum.	
628	Gregg, J H	1950		Oxygen utilization in relation to growth and morphogenesis of the slime mold Dictyostelium discoideum.	
7030	Hirschberg, E	1950		Nutritional and biochemical studies with Dictyostelium discoideum.	
3498	Hirschberg, E	1950	14803512	Effects of compounds of varied biochemical action on the aggregation of a slime mold, Dictyostelium discoideum.	
3551	Pfutzner-Eckert, R	1950		Entwicklungsphysiologische untersuchungen an Dictyostelium mucoroides Brefeld.	
3552	Pinoy, P E	1950		Quelques observations sur la culture d'une Acrasiee.	Article in French. Same article as d1206.
7189	Raper, K B	1950	14781808	Stalk formation in Dictyostelium.	
3497	Hirschberg, E	1951	14832352	Effect of 2,4-dinitrophenol on the differentiation of the slime mold Dictyostelium discoideum.	
1307	Raper, K B	1951		Isolation, cultivation, and conservation of simple slime molds.	
1403	Sussman, M	1951		The origin of cellular heterogeneity in the slime molds, Dictyosteliaceae.	
8480	Sussman, M	1951		Clonal development of the slime mold, Dictyostelium mucoroides	abstract G82
3896	Zaczynski, E J	1951		The effect of anti-serum on the growth and morphogenesis of the slime mold.	
5099	Alexopoulos, C J	1952		Introductory Mycology.	Chapter 3: Phylum Myxomycophyta (the slime molds); pg. 63-97. Sub-chapter: Class Acrasieae; pg. 83-86.
99	Bonner, J T	1952		The pattern of differentiation in amoeboid slime molds.	
5102	Bonner, J T	1952		Morphogenesis. An essay on development.	
116	Bonner, J T	1952		Mitotic activity in relation to differentiation in the slime mold Dictyostelium discoideum.	
4304	Bradley, S G	1952	12997180	Growth of amoeboid slime molds in one-membered cultures.	
5412	Burkholder, P R	1952		Cooperation and conflict among primitive organisms.	Dictyostelium on pages 616-617.
3515	Kitzke, E D	1952		A new method for isolating members of the Acrasieae from soil samples.	
3522	Lang, A	1952		I.5. Entwicklungsphysiologie der Acrasiales.	Published in 1954. Complete article is: Entwicklungsphysiologie (pg. 400-475).
1311	Raper, K B	1952		Stalk formation in Dictyostelium.	
2306	Slifkin, M K	1952		The effect of salts and organic solutes on the migration time of the slime mold Dictyostelium discoideum.	
1433	Sussman, M	1952		An analysis of the aggregation stage in the development of the slime molds, Dictyosteliaceae. II. Aggregative center formation by mixtures of Dictyostelium discoideum wild type and aggregateless variants.	
4177	Sussman, M	1952		An analysis of the aggregation stage in the development of the slime molds, Dictyosteliaceae. I. The populational distribution of the capacity to initiate aggregation.	
1961	Wilson, C M	1952		Sexuality in the Acrasiales.	
117	Bonner, J T	1953		Variations in cell size during development of the slime mold Dictyostelium discoideum.	
