rec_number	first_author	year	pmid	title	abstract
761	Jacobson, A	1974	4856245	Synthesis of messenger and ribosomal RNA precursors in isolated nuclei of the cellular slime mold Dictyostelium discoideum.	
7000	Jones, M E	1974		Development in Polysphondylium.	
3512	Kananishi, N	1974		Radiation resistance in the cellular slime molds IV. Effects of some radiomimetic substances.	abstract no. 3-B-09
2335	Kanda, F	1974	4858001	Molecular-weight determinations and stoichiometric measurements of 40-S and 60-S ribosomal proteins of the cellular slime mold Dictyostelium discoideum.	
804	Katz, E R	1974	4856682	The cell cycle and its relationship to aggregation in the cellular slime mold Dictyostelium discoideum.	
2895	Katz, E R	1974	4530283	Evidence for mitotic recombination in the cellular slime mold Dictyostelium discoideum.	
831	Kessin, R H	1974	4811541	Isolation of germination mutants of Dictyostelium discoideum.	
2031	Kessin, R H	1974	4859399	Linkage analysis in Dictyostelium discoideum using temperature-sensitive growth mutants selected with bromodeoxyuridine.	
844	Killick, K A	1974	4372936	Regulation of enzyme activity during differentiation in Dictyostelium discoideum.	
2869	Klaus, M	1974	4599502	Microdissection of the developmental stages of the cellular slime mold, Dictyostelium discoideum, using a ruby laser.	
862	Klein, C	1974		Presence of magic spot in Dictyostelium discoideum.	
884	Konijn, T M	1974	4377082	The chemotactic effect of cyclic AMP and its analogues in the Acrasiae.	\ Ed. E. Sorkin. Publ. S. Karger, Basel, 1974.
885	Konijn, T M	1974		Cyclisch AMP als schakel en hormoon.	
7001	Langridge III, W H R	1974		Regulation of glutamate-dehydrogenase activity during morphogenesis in the cellular slime mold, Dictyostelium discoideum.	
3524	Lin, S	1974	4362070	Biochemical studies on the mode of action of cytochalasin B and studies on its binding to cells.	
2720	Lodish, H	1974	4524794	Transcription and structure of the genome of the cellular slime mold Dictyostelium discoideum.	
2724	Lodish, H F	1974	4531041	Synthesis of mRNA and chromosome structure in the cellular slime mold.	
950	Long, B H	1974	4855616	Changes in neutral lipid constituents during differentiation of the cellular slime mold, Dictyostelium discoideum.	
1762	MacInnes	1974	4473717	Meiosis in Dictyostelium mucoroides.	
1004	Maeda, Y	1974	4361722	Heterogeneity of the cell population of the cellular slime mold Dictyostelium discoideum before aggregation, and its relation to the subsequent locations of the cells.	
1009	Malchow, D	1974	4366767	Short-term binding and hydrolysis of cyclic 3':5'-adenosine monophosphate by aggregating Dictyostelium cells.	
7002	McDonald, M C	1974		Biosynthesis of nucleotides and amino acids during the vegetative stage of the cellular slime mold Dictyostelium discoideum.	
3013	McMahon, D	1974	4152810	Chemical messengers in development: a hypothesis.	
1089	Moens, P B	1974	4369897	Cyclic AMP as a cell surface activating agent in Dictyostelium discoideum.	
1604	Nanjundiah, V	1974	4366981	A differential chemotactic response of slime mould amoebae to regions of the early amphibian embryo.	
3050	O'Day, D	1974	4856007	Intracellular and extracellular enzyme patterns during microcyst germination in the cellular slime mold Polysphondylium pallidum.	
1211	Olive, L S	1974		A cellular slime mold with flagellate cells.	
1605	Pan, P	1974	4365757	Immunofluorescence evidence for the distribution of cyclic AMP in cells and cell masses of the cellular slime molds.	
3079	Parish, R W	1974	4373294	Alkaline phosphatase of Dictyostelium discoideum: cell surface location and colchicine effect on internalization during phagocytosis.	
1272	Poff, K L	1974	4472314	Spectral characteristics of the photoreceptor pigment of phototaxis in Dictyostelium discoideum.	
2508	Poff, K L	1974	4857657	Absorbance changes induced by blue light in Phycomyces blakesleeanus and Dictyostelium discoideum.	
1276	Poff, K L	1974	4856437	Isolation and purification of the photoreceptor pigment associated with phototaxis in Dictyostelium discoideum.	
3376	Risse, H J	1974		Glycosyltransferases linked to subcellular membranes of the slime mold Dictyostelium discoideum.	
3116	Robertson, A	1974		Information handling at the cellular level - Intercellular communication in slime mould development.	
4093	Robertson, A	1974		Quantitative analysis of the development of cellular slime molds, II.	
3115	Robertson, A	1974	4378088	The role of cyclic AMP in slime mold development.	
1503	Rogge, H	1974	4376794	A procedure for the isolation of Dictyostelium nuclei.	
3118	Rogge, H	1974	4477752	Glycosyltransferases in membraneous and nuclear fractions of Dictyostelium.	
2074	Rosen, S D	1974	4472989	Carbohydrate-binding protein from Polysphondylium pallidum implicated in intercellular adhesion.	
7003	Rosness, P A	1974		Polysaccharide metabolism during cellular development in Dictyostelium discoideum.	
1373	Rosness, P A	1974	4372953	In vivo changes of cellulose, trehalose and glycogen during differentiation of Dictyostelium discoideum.	
3174	Rossomando, E F	1974		Preparation of membrane bound adenyl cyclase from Dictyostelium discoideum using amphotericin B.	abstract no. 788
1380	Rossomando, E F	1974	4857087	Scanning electron microscopic observations on cell surface changes during aggregation of Dictyostelium discoideum.	
3358	Rutherford, C L	1974	4474352	Precursor-product relationships between nucleotides and RNA during differentiation in Dictyostelium discoideum.	
1719	Simpson	1974	4858710	Discoidin, a developmentally regulated carbohydrate binding protein from Dictyostelium discoideum. Purification and characterization.	
3194	Singh, R	1974	4375117	Effect of exogenous 3',5'-cyclic adenosine monophosphate on the cell surface properties of the cellular slime mould, Dictyostelium discoideum.	
3200	Sinha, U	1974		Metabolism of Dictyostelium discoideum during early stages of differentiation in phophate buffers.	
2307	Smart, J E	1974	4473716	Developmentally regulated cell surface alterations in Dictyostelium discoideum.	
3425	Smith, J E	1974		A cellular slime mould: Dictyostelium discoideum.	ch.2: a cellular slime mold: Dictyostelium discoideum ch.3: a plasmodial slime mold: Physarum polycephalum. ch.4: the fungal spore. ch.5: the vegetative state. ch.6: asexual reproduction. ch.7: sexual reproduction.
3163	Spudich, J	1974	4278010	Biochemical and structural studies of actomyosin-like proteins from non-muscle cells. 2. Purification, properties and membrane association of actin from amoebae of Dictyostelium discoideum.	
3585	Spudich, J A	1974	4280006	The contractile proteins of Dictyostelium discoideum.	
3225	Sussman, M	1974		Cellular slime molds.	
1426	Sussman, R R	1974	4362462	Bioassay for the isolation of Dictyostelium discoideum mutants deficient in extracellular accumulation of cyclic adenosine 3',5'-monophosphate.	
3406	Tanaka, Y	1974		True spore germination inhibitor of a cellular slime mold Dictyostelium discoideum.	
1579	Tuchman, J	1974	4472246	Preferential synthesis of actin during early development of the slime mold Dictyostelium discoideum.	
2723	Verma, I M	1974	4137959	Synthesis of DNA complementary to cellular slime mold messenger RNA by reverse transcriptase.	
4605	Warren, A	1974		Complementation analysis of aggregation mutants in the cellular slime mold Polysphondylium violaceum.	
7004	Warren, A J	1974		A genetic study of aggregation in the cellular slime mold Polysphondylium violaceum.	
1996	Wilhelms, O - H	1974	4217277	Glycosphingolipids and glycoproteins in the wild-type and in a non-aggregating mutant of Dictyostelium discoideum.	
1983	Williams, K L	1974	4855676	Genetics of growth in axenic medium of the cellular slime mould Dictyostelium discoideum.	
1988	Williams, K L	1974	4474353	Parasexual genetics in Dictyostelium discoideum: Mitotic analysis of acriflavin resistance and growth in axenic medium.	
3397	Yamada, H	1974	4365107	Polysaccharides of the cellular slime mold. I. Extracellular polysaccharides in growth phase of Dictyostelium discoideum.	
3398	Yamada, H	1974	4473076	Polysaccharides of the cellular slime mold. II. Change of intra- and extracellular polysaccharides during growth phase of Dictyostelium discoideum NC-4.	
2136	Yanagisawa, K O	1974	4372237	Effect of glucose and adenosine 3',5'-cyclic monophosphate on the early development of Dictyostelium discoideum.	
2137	Yanagisawa, K O	1974		Cyclic AMP phosphodiesterase in some mutants of Dictyostelium purpureum.	
2138	Yarger, J	1974	4857469	Observations on the growth of Dictyostelium discoideum in axenic medium: Evidence for an extracellular growth inhibitor synthesized by stationary phase cells.	
16	Alexander, S	1975	804666	Tryptic destruction of aggregative competence in Dictyostelium discoideum and subsequent recovery.	
3222	Alexander, S S	1975	1171798	Trehalose-6-phosphate synthetase activity in extracts of Dictyostelium discoideum.	
4276	Ashworth, J M	1975		The biology of slime moulds.	\ Edward Arnold, London, 1975.
2421	Benson, M R	1975		Distribution of dictyostelid cellular slime molds in Southern California.	
3436	Bloch, S	1975	1239434	In vitro transcription from chromatin of slime molds.	
152	Brachet, P	1975	124657	Inhibition of growth and cellular aggregation of Dictyostelium discoideum by steroid compounds.	
153	Brackenbury, R	1975	804355	Mutant of Dictyostelium discoideum defective in cell contact regulation of enzyme expression.	
162	Brenner, M	1975	1167505	Techniques for rapid biochemical screening of large number of cell clones.	
7887	Bryant, P E	1975		Studies of RNA synthesis in irradiated resistant and sensitive strains of the slime-mould Dictyostelium discoideum	
213	Chang, C M	1975	1104368	Cell surface location of discoidin, a developmentally regulated carbohydrate-binding protein from Dictyostelium discoideum.	
217	Charlesworth, M C	1975	168080	The isolation of nuclei and basic nucleoproteins from the cellular slime mold Dictyostelium discoideum.	
222	Chia, W C	1975	166002	Induction of stalk cell differentiation by cyclic-AMP in a susceptible variant of Dictyostelium discoideum.	
3161	Clarke, M	1975	1057168	Visualization of actin fibers associated with the cell membrane in amoebae of Dictyostelium discoideum.	
4328	Cockburn, A	1975		Mapping of the genome of the cellular slime mold Dictyostelium discoideum with restriction endo nucleases.	abstract 147
246	Cohen, A	1975	812095	Guanosine metabolism and regulation of fruiting body construction in Dictyostelium discoideum.	
4329	Cohen, M H	1975	167878	Iontophoresis of cyclic AMP.	
2551	Cotter, D A	1975		Spores of the cellular slime mold Dictyostelium discoideum.	
261	Cotter, D A	1975	1171668	Germination and mitochondrial damage in spores of Dictyostelium discoideum following supraoptimal heating.	
557	Coukell, M B	1975	1240588	Parasexual genetic analysis of aggregation-deficient mutants of Dictyostelium discoideum.	
3455	Curry, A	1975		The detection of actin-like proteins in some protozoa using heavy meromyosin.	Abstract no. 144
3456	Cutler, L S	1975	1194668	Comments on the validity of the use of lead nitrate for the cytochemical study of adenylate cyclase.	
3173	Cutler, L S	1975	1238274	Localization of adenylate cyclase in Dictyostelium discoideum. 2. Cytochemical studies in whole cells and isolated plasma membrane vesicles.	
2850	D'Addone Hanish, M	1975	172396	A possible cause of termination of cell growth in the cellular slime mold Dictyostelium discoideum.	
2561	Darmon, M	1975	171655	Chemotactic signals induce cell differentiation in Dictyostelium discoideum.	
5367	Deering, R A	1975	1103874	Dictyostelium discoideum: a valuable eukaryotic system for repair studies.	
2573	Deering, R A	1975	1167858	Endonuclease from Dictyostelium discoideum that attacks ultraviolet-irradiated deoxyribonucleic acid.	
6995	Dimond, R L	1975		Mutational analysis of stage specific enzymes in Dictyostelium discoideum.	
343	Dimond, R L	1975		The role of UDPG pyrophosphorylase during development in Dictyostelium discoideum.	
2398	Eckert, B S	1975		Motility of amoebae of the slime mold Dictyostelium discoideum.	abstract no. 205
3223	Ennis, H L	1975	1236847	Mutants of Dictyostelium discoideum defective in spore germination.	
1320	Erdos, G W	1975	1055396	Sexuality in the cellular slime mold Dictyostelium giganteum.	
404	Every, D	1975	1171688	Rates of accumulation of glycosidase activities during growth and differentiation of Dictyostelium discoideum.	
405	Every, D	1975	1171689	Rates of degradation and synthesis of glycosidases de novo during growth and differentiation of Dictyostelium discoideum.	
407	Farnham, C J M	1975	165946	Cytochemical localization of adenylate cyclase and 3',5'-nucleotide phosphodiesterase in Dictyostelium.	
410	Farnsworth, P A	1975	1236927	Proportionality in the pattern of differentiation of the cellular slime mould Dictyostelium discoideum and the time of its determination.	
412	Farnsworth, P A	1975	52566	A gradient in the thickness of the surface sheath in pseudoplasmodia in Dictyostelium discoideum.	
433	Filosa, M F	1975	1171801	The developmental capacity of various stages of a macrocyst-forming strain of the cellular slime mold Dictyostelium mucoroides.	
2679	Firtel, R A	1975	1171729	Structural organization of the genome of the cellular slime mold Dictyostelium discoideum: Interspersion of repetitive and single-copy DNA sequences.	
2734	Firtel, R A	1975	1054507	Ribonucleoprotein particles containing heterogeneos nuclear RNA in the cellular slime mold Dictyostelium discoideum.	
463	Francis, D	1975	1236929	Macrocyst genetics in Polysphondylium pallidum, a cellular slime mould.	
464	Francis, D	1975	174003	Cyclic AMP-induced changes in protein synthesis in a cellular slime mould, Polysphondylium pallidum.	
3472	Francis, D	1975		Genetic regulation of cyclic nucleotide production in a cellular slime mold Polysphondylium.	
2660	Frazier, W A	1975	1236849	Purification and comparison of two developmentally regulated lectins from Dictyostelium discoideum - Discoidin I and II.	
3476	Fukui, Y	1975		Parasexual hybridization in cellular slime mold. I. Appearance of hybrid clones at high frequency in a short period and its relation to cell fusion in Dictyostelium discoideum.	
552	Gerisch, G	1975	167285	Control of cell-contact sites by cyclic AMP pulses in differentiating Dictyostelium cells.	
4054	Gerisch, G	1975		Genetic control of cell differentiation and aggregation in Dictyostelium: the role of cyclic-AMP pulses.	
555	Gerisch, G	1975	1814	Cell communication by periodic cyclic-AMP pulses.	
2783	Gerisch, G	1975		Cyclic-AMP reception and cell recognition in Dictyostelium discoideum.	
564	Gerisch, G	1975	167769	Intracellular oscillations and release of cyclic AMP from Dictyostelium cells.	
6996	Gingle, A R	1975		Critical density for relaying in Dictyostelium discoideum and its relation to phosphodiesterase secretion into the extracellular medium.	
589	Goldbeter, A	1975	163974	Mechanism for oscillatory synthesis of cyclic AMP in Dictyostelium discoideum.	
2035	Green, A A	1975	171079	Evidence for the existence of two types of cAMP binding sites in aggregating cells of Dictyostelium discoideum.	
627	Gregg, J H	1975	172357	Dictyostelium aggregate-less mutant plasma membranes.	
631	Griffith, R A	1975		Research of phosphodiesterase and adenylate cyclase activity in the slime mold Dictyostelium discoideum and the effect of temperature and ATP on cAMP production.	
4050	Gross, J D	1975		Periodic cyclic AMP signals and cell differentiation. (News and views)	
676	Hamilton, I D	1975	173791	Enzyme activity changes during cyclic AMP-induced stalk cell differentiation in P4, a variant of Dictyostelium discoideum.	
6009	Harasawa, I	1975		Variation of cellular slime mold in natural environment.	
686	Hashimoto, Y	1975	1236856	Cell density dependence of the aggregation characteristics of the cellular slime mould Dictyostelium discoideum.	
695	Henderson, E J	1975	167004	The cyclic adenosine 3',5'-monophosphate receptor of Dictyostelium discoideum. Binding characteristics of aggregation competent cells and variation of binding levels during the life cycle.	
2785	Hess, B	1975		Spatiotemporal organization in chemical and cellular systems.	
731	Huesgen, A	1975	169155	Solubilized contact sites A from cell membranes of Dictyostelium discoideum.	
2812	Jacobson, A	1975		Analysis of mRNA transcription in Dictyostelium discoideum, or: Slime mold mRNA: How to find it and what to do with it once you've got it.	
9354	Jacobson, A.	1975	1238151	The synthesis of messenger RNA in the cellular slime mold Dictyosteilum discoideum	"Jacobson, AFirtel, RLodish, H FResearch Support, U.S. Gov't, Non-P.H.S.Research Support, U.S. Gov't, P.H.S.United statesBrookhaven symposia in biologyBrookhaven Symp Biol. 1975 Jul;(26):307-19."
3501	Jacobson, A	1975		Electrophoretic separation of the major species of the slime mold messenger RNA.	
2986	Jacobson, A	1975	174486	Genetic control of development of the cellular slime mold, Dictyostelium discoideum.	
3505	Jefferson, B L	1975		Trehalose metabolism during differentiation of Dictyostelium discoideum Acrasiales.	
3506	Jefferson, B L	1975		Trehalose metabolism during differentiation of Dictyostelium discoideum.	abstract Bi029
945	Joab-Liwerant, I	1975	175268	Comparative mutagenic effects of ethyl methane-sulfonate, N-methyl-N'-nitro-N-nitrosoguanidine, ultraviolet radiation and caffeine on Dictyostelium discoideum.	
3507	Jones, T H D	1975		Characterization of cellulase activity in spores of Dictyostelium discoideum.	
2441	Katilus, J	1975		Purification and new biological properties of the slime mold germination inhibitor.	
845	Killick, K A	1975		Dictyostelium UDP-glucose pyrophosphorylase.	
3354	Killick, K A	1975	242263	Trehalose synthesis during differentiation in Dictyostelium discoideum. Preparation, stabilization, and assay of trehalose-6-phosphate synthetase.	
863	Klein, C	1975	170256	Induction of phosphodiesterase by cyclic adenosine 3',5'-monophosphate in differentiating Dictyostelium discoideum.	
139	Klein, C	1975	163987	Effects of progesterone and EDTA on cAMP and phosphodiesterase in Dictyostelium discoideum.	
869	Klein, C	1975	173312	The relationship of phosphodiesterase to the developmental cycle of Dictyostelium discoideum.	
2954	Konijn, T M	1975		Chemotaxis in the cellular slime moulds.	
904	Krichevsky, M I	1975	168474	The growth and utilization of Dictyostelium discoideum as a model system for hormone or protohormone action.	
2382	Laine, J	1975	1170932	A simple method for storing cellular slime mold amoebae.	
930	Lee, A	1975		Studies on the alkaline phosphatase and 5'-nucleotidase of Dictyostelium discoideum.	
946	Lodish, H F	1975		RNA and protein synthesis during differentiation of the slime mold, Dictyostelium discoideum.	
955	Loomis, W F	1975		Stage specific isozymes of Dictyostelium discoideum.	
956	Loomis, W F	1975		Polarity and pattern in Dictyostelium.	
2997	Loomis, W F	1975		Dictyostelium discoideum. A developmental system.	
981	MacHac, M A	1975	1238392	Evidence for a sex hormone in Dictyostelium discoideum.	
2057	Malchow, D	1975	164932	A plausible role for a membrane-bound cyclic AMP phosphodiesterase in cellular slime mold chemotaxis.	
1040	Mato, J M	1975	173594	Enhanced cell aggregation in Dictyostelium discoideum by ATP activation of cyclic AMP receptors.	
2955	Mato, J M	1975	164927	Chemotaxis and binding of cyclic AMP in cellular slime molds.	
1048	Mato, J M	1975	174088	Signal input for a chemotactic response in the cellular slime mold Dictyostelium discoideum.	
1065	McMahon, D	1975		The involvement of the plasma membrane in the development of Dictyostelium discoideum.	
3530	Morris, N T	1975		Sodium azide inhibition of growth and development in Dictyostelium discoideum.	
1093	Mosses, D	1975		The use of mitotic crossing-over for genetic analysis in Dictyostelium discoideum: mapping of linkage group II.	
4490	Muller, U	1975	1239052	Ultrastructural evidence for the presence of two separate glycogen pools in Dictyostelium discoideum.	
2843	Muroyama, T	1975		The karyotype of the cellular slime molds.	
1129	Newell, P C	1975		Cellular communication during aggregation of the slime mold Dictyostelium.	
3051	O'Day, D	1975	1167944	Diffusible mating-type factors induce macrocyst development in Dictyostelium discoideum.	
3048	Olive, L S	1975		The Mycetozoans.	Eumycetozoa ch.2: protostelia ch.3: dictyostelia ch.4: myxogastria Acrasea ch.5: Acrasea associated groups: plasmodiophorina (ch.6) labyrinthulina (ch.7) ch.8: phylogeny
2397	Osborn, P J	1975	1237356	Changes in the basic nuclear proteins of the cellular slime mould Dictyostelium discoideum during growth and differentiation.	
6922	Palatnik, C M	1975		Qualitative and quantitative differences in transfer-RNA between growth and development in Dictyostelium discoideum.	
1237	Palatnik, C M	1975		Qualitative and quantitative differences in transfer RNA between growth and development in Dictyostelium discoideum.	
1239	Pan, P	1975		Chemical messengers in the development of cellular slime molds.	
1241	Pan, P	1975	164431	Determination of the active portion of the folic acid molecule in cellular slime mold chemotaxis.	
3078	Parish, R W	1975	241646	Mitochondria and peroxisomes from the cellular slime mould Dictyostelium discoideum. Isolation techniques and urate oxidase association with peroxisomes.	
1444	Park, D J M	1975	1172602	Mathematical modeling of differentiation in Dictyostelium discoideum.	
1457	Pereira da Silva, L H	1975		Induction of cell differentiation by the chemotactic signal in Dictyostelium discoideum.	\ Vol. 38: Organization and expression of the eukaryotic genome. Biochemical mechanisms of differentiation in prokaryotes and eukaryotes. Eds. G. Bernardi and F. Gross; North-Holland Publ. Comp., Amsterdam (1975)
2507	Poff, K L	1975		Spectral characterization of the photo reducible b-type cytochrome of Dictyostelium discoideum.	
1285	Putnam jr, J B	1975	170997	Discovery of a 3',5'-guanosine monophosphate simulating factor in amoebae of Dictyostelium discoideum.	
6997	Raman, R	1975		Analysis of the chemotactic response during aggregation in Dictyostelium minutum.	
3101	Reinhardt, D J	1975		Natural variants of the cellular slime mold Acrasis rosea.	
1479	Reitherman, D W	1975	1059141	Cell surface species-specific high affinity receptors for discoidin: Developmental regulation in Dictyostelium discoideum.	
1467	Rickenberg, H V	1975	1236845	Inhibition of development in Dictyostelium discoideum by sugars.	
3114	Robertson, A	1975	167879	Stimulation of late interphase Dictyostelium discoideum amoebae with an external cyclic AMP signal.	
3120	Roos, U P	1975	1097455	Fine structure of an organelle associated with the nucleus and cytoplasmic microtubules in the cellular slime mould Polysphondylium violaceum.	
3121	Roos, U P	1975	1090631	Mitosis in the cellular slime mold Polysphondylium violaceum.	
1507	Roos, W	1975	166875	Amplification of cyclic-AMP signals in aggregating cells of Dictyostelium discoideum.	
3125	Rosen, O R	1975	237194	Purification of fructose-1,6-diphosphatase from Polysphondylium pallidum.	
2075	Rosen, S D	1975	1238270	Distinct lectin activities from six species of cellular slime mold.	
3172	Rossomando, E F	1975	172348	Localization of adenylate cyclase in Dictyostelium discoideum. 1. Preparation and biochemical characterization of cell fractions and isolated plasma membrane vesicles.	
3175	Rothman, F G	1975	1238305	Parasexual genetic analysis of the cellular slime mold Dictyostelium discoideum A3.	
1322	Rubin, J	1975	168303	The tip of the Dictyostelium discoideum pseudoplasmodium as an organizer.	
1564	Shaffer, B M	1975	167286	Secretion of cyclic AMP induced by cyclic AMP in the cellular slime mould Dictyostelium discoideum.	
1648	Simpson, D L	1975	1238118	Pallidin.  Purification and characterization of a carbohydrate-binding protein from Polysphondylium pallidum implicated in intercellular adhesion.	
2996	Siu, C H	1975		Changes in plasma membrane proteins during development of Dictyostelium discoideum.	
3134	Soll, D R	1975	1239391	"Morphogenesis in the slime mold Dictyostelium discoideum. 1. The accumulation and erasure of ""morphogenetic information""."	
3160	Spudich, J	1975	1172503	Supramolecular forms of actin from amoebae of Dictyostelium discoideum.	
2185	Stuchell, R N	1975	234433	Effects of ethidium bromide on the respiratory chain and oligomycin-sensitive adenosine triphosphatase in purified mitochondria from the cellular slime mold Dictyostelium discoideum.	
1417	Sussman, M	1975		A note on the synthesis of UDP glucose pyrophosphorylase by D. discoideum.	
1416	Sussman, M	1975		Morphogenetic feedback and gene expression in Dictyostelium discoideum.	
3224	Sussman, M	1975	805731	Adhesive properties of cell ghosts derived from Dictyostelium discoideum.	
1418	Sussman, M	1975	1238273	An increase of calcium/manganese binding sites in cell ghosts associated with the acquisition of aggregative competence in Dictyostelium discoideum.	
2732	Swan, A P	1975	239851	Cohesive properties of axenically grown cells of the slime mold Dictyostelium discoideum.	
3069	Tanaka, Y M	1975		Partial structure of a spore germination inhibitor from a cellular slime mold, Dictyostelium discoideum.	
3280	Warren, J	1975	1055362	Genetic complexity of aggregation in the cellular slime mold Polysphondylium violaceum.	
2198	Watts, D J	1975	803550	Studies on the vitamin nutrition of the cellular slime mould Dictyostelium discoideum.	
3282	Watts, D J	1975		Incorporation of N-acetylglucosamine into the slime sheath of the cellular slime mould Dictyostelium discoideum.	
3293	Weeks, C	1975	165956	Cell surface changes during the differentiation of Dictyostelium discoideum. Interaction of cells with concanavalin A.	
3294	Weeks, G	1975	1171866	Studies of the cell surface of Dictyostelium discoideum during differentiation. Binding of 125I-concanavalin A to the cell surface.	
3355	Wright, B E	1975		Usefulness of developmental mutants in the analysis of biochemical differentiation.	
3357	Wright, B E	1975		Trehalose metabolism during sporulation of Dictyostelium discoideum spores.	
3356	Wright, B E	1975	803969	An analysis of the kinetic positions held by five enzymes of carbohydrate metabolism in Dictyostelium discoideum.	
3133	Yarger, J	1975	236038	Transcription and division inhibitors in the medium of stationary phase cultures of the slime mold Dictyostelium discoideum.	
6998	Yu, N Y	1975		Cell contact mediated differentiation in Dictyostelium.	
2141	Yu, N Y	1975	173597	Cell contact mediated differentiation in Dictyostelium.	
2752	, N E	1976	942743	Comparison of sensitivity of spores and amoebae of Dictyostelium discoideum to gamma-rays and ultraviolet light.	
1685	Abe, H	1976		Structure of discadenine, a spore germination inhibitor from the cellular slime mold Dictyostelium discoideum.	
11	Alcantara, F	1976	176311	Extracellular cyclic AMP-phosphodiesterase accelerates differentiation in Dictyostelium discoideum.	
2407	Alexander, S	1976		Effect of trypsin on cell adhesion and cell contact mediated gene expression in Dictyostelium discoideum.	
34	Ashworth, J M	1976	1035556	Control of cell differentiation in the cellular slime mould Dictyostelium discoideum.	
1905	Atryzek, V	1976	944182	Dissociation of developing slime mold cells does not inhibit the developmentally regulated rise in alkaline phosphatase activity.	
2044	Atryzek, V	1976	945206	Alteration in timing of cell differentiation resulting from cell interactions during development of the cellular slime mold, Dictyostelium discoideum.	
6986	Atryzek, V	1976		Precocious differentiation of cells resulting from cell interactions during development of the cellular slime mold, Dictyostelium discoideum.	
7794	Bonner, J T	1976		Ch. 4.2 - Signalling systems in Dictyostelium	Sbn 0 7216 4205 5
148	Brachet, P	1976	177227	Differenciation cellulaire. Effet d'un ionophore sur l'agregation de Dictyostelium discoideum.	
6987	Brackenbury, R W	1976		Regulation of enzyme expression in Dictyostelium discoideum by small molecules and cell association.	
2503	Bryant, P E	1976	1086844	Effects of electrons and neutrons on the synthesis of RNA in resistant and sensitive strains of the slime-mould Dictyostelium discoideum and the modifying effect of caffeine.	
4313	Bryant, P E	1976		Synthesis of RNA after irradiation in resistant and sensitive strains of the slime-mould Dictyostelium discoideum.	
2505	Bushway, R J	1976		Pesticide inhibition of growth and macro molecular synthesis in the cellular slime mold Dictyostelium discoideum.	
4906	Cappuccinelli, P	1976	1033835	The effect of inhibitors of microtubule and microfilament function on the cellular slime mould Dictyostelium discoideum.	
4316	Carlile, M J	1976		Primitive sensory and communication systems: the taxes and tropisms of micro-organisms and cells.	
192	Cavender, J C	1976		Cellular slime molds of Southeast Asia. II. Occurrence and distribution.	
2440	Cavender, J C	1976		Cellular slime molds of Southeast Asia. I. Description of new species.	
212	Chance, K	1976	988014	Effect of cerulenin on the growth and differentiation of Dictyostelium discoideum.	
510	Chang, M T	1976		Macrocysts in Dictyostelium rosarium.	
7484	Chapleo-Charlesworth, M R	1976		The isolation of nuclei and basic nucleoproteins from the cellular slime mould Dictyostelium discoideum	
4323	Clark, M A	1976		Synergistic fruiting body construction by Polysphondylium violaceum mutants.	
6988	Clark, R L	1976		Cell surface proteins during morphogenesis of the cellular slime mold Dictyostelium discoideum: specific labeling and interaction with exogenous and endogenous lectins.	
2570	Cleveland, R F	1976	1084874	Changes in morphogenesis and developmental enzyme levels in Dictyostelium discoideum after gamma irradiation.	
2735	Cockburn, A F	1976		Organization of the ribosomal genes of Dictyostelium.	
2682	Cockburn, A F	1976	1034500	Organization of the ribosomal RNA genes of Dictyostelium discoideum: mapping of the nontranscribed spacer regions.	
2524	Coe, E L	1976		Possible involvement of prostaglandins in the cAMP signalling response of the cellular slime mold D. discoideum.	abstract 74
3143	Cooke, R	1976	1172503	Supramolecular forms of Dictyostelium actin.	
2549	Cotter, D A	1976	945047	Spore germination in Dictyostelium discoideum. II. Effects of dimethyl sulfoxide on post-activation lag as evidence for the multistate model of activation.	
2550	Cotter, D A	1976	1034498	Activation and killing of Dictyostelium discoideum spores with urea.	
4101	D'Addone Hanish, M	1976		Effect of division inhibitor on macromolecular synthesis in Dictyostelium discoideum in vitro.	
282	Darmon, M	1976		Role possible des contacts cellulaires dans l'arret dun programme de differenciation chez Dictyostelium discoideum.	
284	Darmon, M	1976	182127	Binding of concanavalin A and its effect on the differentiation of Dictyostelium discoideum.	
4099	Deering, R A	1976		Genetic analysis of radiation-sensitive mutation in the slime mould, Dictyostelium discoideum.	
2474	Dent, V E	1976	786198	Behaviour of Dictyostelium discoideum amoeba and Escherichia coli grown together in chemostat culture.	
340	Dimond, R L	1976	944665	Isolation and characterization of mutations affecting UDPG pyrophosphorylase activity in Dictyostelium discoideum.	
344	Dimond, R L	1976		Structure and function of beta-glucosidases in Dictyostelium discoideum.	
4098	Dimond, R L	1976		The role of beta-glucosidase activity and relationships between the isozymes.	
345	Dimond, R L	1976		Characterization and developmental regulation of beta-galactosidase isozymes in Dictyostelium discoideum.	
3466	Dottin, R	1976	183893	5'-Terminal nucleotide sequences of the messenger RNAs of Dictyostelium discoideum.	
364	Durston, A J	1976	987542	Tip formation is regulated by an inhibitory gradient in the Dictyostelium discoideum slug.	
366	Durston, A J	1976	12194430	Periodic movements of Dictyostelium discoideum sorocarps.	
4352	Dykstra, M	1976		Cytochemistry of the cell coat in slime molds.	
6989	Eckert, B S	1976		Motility of amoebae of the slime mold Dictyostelium discoideum during cell aggregation and development.	
2315	Eckert, B S	1976		Actin and cell motility in amoebae of the slime mold Dictyostelium discoideum.	abstract no. 295
